mqFraRZcbJFRHQ8hELbPs3uZv1Dbr1UpLh	 OpenLongPosition	 41	 mo9om6EmQG2kRpAervQQqeCVH8mRnk4eHf	 LongPosNetted	 0	 41	 15110
mqFraRZcbJFRHQ8hELbPs3uZv1Dbr1UpLh	 LongPosIncreased	 1306	 mo9om6EmQG2kRpAervQQqeCVH8mRnk4eHf	 OpenShortPosition	 1265	 1265	 15110
myvV3T4arA6R99Kaj8eLKbgf52DDFx3J1Y	 ShortPosNettedPartly	 2118	 mo9om6EmQG2kRpAervQQqeCVH8mRnk4eHf	 ShortPosIncreased	 2071	 806	 15111
myvV3T4arA6R99Kaj8eLKbgf52DDFx3J1Y	 ShortPosNettedPartly	 1341	 mmfyKhD6ThjokcVfTyC2XKf8zto6rqXofc	 LongPosNettedPartly	 1396	 777	 15111
mkJ6yx87wFxU4oCnf7i1tm4voDg7NSPAz6	 ShortPosNettedPartly	 986	 mwY5bfWC2zCMP42TW7UbkjrNYzbBhMHu7A	 LongPosNetted	 0	 411	 18425
mkJ6yx87wFxU4oCnf7i1tm4voDg7NSPAz6	 ShortPosNetted	 0	 mwY5bfWC2zCMP42TW7UbkjrNYzbBhMHu7A	 OpenShortPosition	 986	 986	 18425
mkJ6yx87wFxU4oCnf7i1tm4voDg7NSPAz6	 OpenLongPosition	 155	 mwY5bfWC2zCMP42TW7UbkjrNYzbBhMHu7A	 ShortPosIncreased	 1141	 155	 18425
n264F4GpJ4C8NoCh7Wpw1uuFZCo2ffYk9c	 ShortPosNettedPartly	 1505	 mwY5bfWC2zCMP42TW7UbkjrNYzbBhMHu7A	 ShortPosIncreased	 1281	 140	 18443
n3EZ7FG8mJU4QaQFPvT14kXdvpwU6sXAaS	 OpenLongPosition	 3030	 mwY5bfWC2zCMP42TW7UbkjrNYzbBhMHu7A	 ShortPosIncreased	 4311	 3030	 18642
mzd8Yemr69iJvoJrbWG1rMVgSfSiwwN87w	 LongPosIncreased	 3244	 n3EZ7FG8mJU4QaQFPvT14kXdvpwU6sXAaS	 LongPosNettedPartly	 746	 2284	 21124
moasEFkKEZMiE3UWgPxeyu4TnNzaaFy3Kp	 ShortPosNettedPartly	 855	 n3EZ7FG8mJU4QaQFPvT14kXdvpwU6sXAaS	 LongPosNettedPartly	 400	 346	 21297
myvV3T4arA6R99Kaj8eLKbgf52DDFx3J1Y	 ShortPosNettedPartly	 648	 mt671jnuSsXRSCivyUXetbE2bCmEfT12Bw	 LongPosNettedPartly	 3468	 693	 15111
mjyhKEsAS9BZZDyvdYSDnw37QmLsRDNnZB	 ShortPosNettedPartly	 2753	 muRzcQNroX7TsMnLGVE1BrB2wY5E69NQaR	 LongPosNettedPartly	 1483	 210	 15179
miQ8yz5KmGTpqiQ4JMULoK3wpyUdkaP5Rx	 ShortPosNettedPartly	 3999	 muRzcQNroX7TsMnLGVE1BrB2wY5E69NQaR	 LongPosNettedPartly	 1329	 154	 15181
moasEFkKEZMiE3UWgPxeyu4TnNzaaFy3Kp	 ShortPosNettedPartly	 725	 mic4GpLytND6BK8qr8aa15wcGAeyskwP5q	 LongPosNetted	 0	 130	 21297
moasEFkKEZMiE3UWgPxeyu4TnNzaaFy3Kp	 ShortPosNettedPartly	 49	 mic4GpLytND6BK8qr8aa15wcGAeyskwP5q	 OpenShortPosition	 676	 676	 21297
mxbTtqPBP8Mo27YgT9vrBUsh2DTnchJ2Pa	 ShortPosNettedPartly	 1764	 mic4GpLytND6BK8qr8aa15wcGAeyskwP5q	 ShortPosIncreased	 1789	 1113	 21994
myvV3T4arA6R99Kaj8eLKbgf52DDFx3J1Y	 ShortPosNettedPartly	 459	 mhwGgJ9BFhrYM7m1eXZNCcEUHJ8b7gcntS	 LongPosNettedPartly	 2605	 189	 15111
n3EZ7FG8mJU4QaQFPvT14kXdvpwU6sXAaS	 LongPosIncreased	 630	 mzMjgkaCpkNYigwMDGPj9oWAAYVJE8F7Wc	 LongPosNettedPartly	 592	 230	 18642
mwY5bfWC2zCMP42TW7UbkjrNYzbBhMHu7A	 ShortPosNettedPartly	 3719	 mzMjgkaCpkNYigwMDGPj9oWAAYVJE8F7Wc	 LongPosNetted	 0	 592	 18910
mwY5bfWC2zCMP42TW7UbkjrNYzbBhMHu7A	 ShortPosNettedPartly	 2503	 mzMjgkaCpkNYigwMDGPj9oWAAYVJE8F7Wc	 OpenShortPosition	 1216	 1216	 18910
mwY5bfWC2zCMP42TW7UbkjrNYzbBhMHu7A	 ShortPosNettedPartly	 1745	 mtLCwj8AdnM7ZmS1ZoktskifVUhDU6HKWW	 LongPosNetted	 0	 758	 18910
mwY5bfWC2zCMP42TW7UbkjrNYzbBhMHu7A	 ShortPosNetted	 0	 mtLCwj8AdnM7ZmS1ZoktskifVUhDU6HKWW	 OpenShortPosition	 1745	 1745	 18910
mwY5bfWC2zCMP42TW7UbkjrNYzbBhMHu7A	 OpenLongPosition	 149	 mtLCwj8AdnM7ZmS1ZoktskifVUhDU6HKWW	 ShortPosIncreased	 1894	 149	 18910
