my6YmudosrA6QnEbdJb3uRfXSygnZdsuKH	 ShortPosIncreased	 17300000000	 moeuYtmbrdfeZLLLbRs4iEQx2Sxu6JYsgf	 LongPosIncreased	 9500000000	 2800000000
mtThchbgk2XyGjr7B8BaUeyXw8Rvm9X5fN	 OpenShortPosByLongPosNetted	 1600000000	 moeuYtmbrdfeZLLLbRs4iEQx2Sxu6JYsgf	 LongPosIncreased	 14100000000	 4600000000
mtThchbgk2XyGjr7B8BaUeyXw8Rvm9X5fN	 ShortPosIncreased	 3700000000	 mufZiuNCqXjSauNzc574T355eMKPp2C5uu	 LongPosIncreased	 4300000000	 2100000000
mxKBsnMgaowavbGNt9xYj5tVXGV49DyV8J	 LongPosNettedPartly	 4200000000	 mufZiuNCqXjSauNzc574T355eMKPp2C5uu	 LongPosIncreased	 8200000000	 3900000000
mpcBhviQAqqD6omokyotHwJ1fRiGjPi5w9	 ShortPosIncreased	 11900000000	 mufZiuNCqXjSauNzc574T355eMKPp2C5uu	 LongPosIncreased	 9400000000	 1200000000
mptGQYjQYarBawFndtvpspg1ukVsKc5vfm	 ShortPosIncreased	 3200000000	 mufZiuNCqXjSauNzc574T355eMKPp2C5uu	 LongPosIncreased	 11800000000	 2400000000
mptGQYjQYarBawFndtvpspg1ukVsKc5vfm	 ShortPosIncreased	 10300000000	 mre2VNeXsczjKZ4E52HYhs2yTaN5cHPNne	 LongPosIncreased	 10500000000	 7100000000
mz6xugsNBEFEWY8Z85w7UYEfCmaMv936e3	 ShortPosIncreased	 7500000000	 mre2VNeXsczjKZ4E52HYhs2yTaN5cHPNne	 LongPosIncreased	 11300000000	 800000000
mz6xugsNBEFEWY8Z85w7UYEfCmaMv936e3	 ShortPosIncreased	 12400000000	 mmMGdAbzRpyfjjF4r5GxeZSY9TJHzhE2DT	 OpenLongPosByShortPosNetted	 300000000	 4900000000
mz6xugsNBEFEWY8Z85w7UYEfCmaMv936e3	 ShortPosIncreased	 13800000000	 mzsfdrrpt7zqB8RsiU4spRpRrMX6wR5TAQ	 LongPosIncreased	 8300000000	 1400000000
mofwfkDBvxRcSwxNaG5EcAHEBkTTtjtCzv	 ShortPosIncreased	 14300000000	 mzsfdrrpt7zqB8RsiU4spRpRrMX6wR5TAQ	 LongPosIncreased	 16400000000	 8100000000
mmcc3R2vSUn8zcNHCpRKm5a82CtytJ14Wk	 LongPosNettedPartly	 1500000000	 n3kjCPkEYFpzSdNgNMyzbgeTrH6QQGvdXH	 OpenLongPosition	 2600000000	 2600000000
mr97HLTnNc3c9of3Rd8G8HURPSipghzPvk	 OpenLongPosByShortPosNetted	 200000000	 mmc8AYWtg36u3W1fBCdgN8vNQQFh5ZJqzW	 OpenShortPosition	 5700000000	 5700000000
mmcc3R2vSUn8zcNHCpRKm5a82CtytJ14Wk	 LongPosNettedPartly	 1400000000	 myySrGjtuv3h4SEuRtqj3K6d1Q9BWsfTUx	 LongPosIncreased	 8100000000	 100000000
mr97HLTnNc3c9of3Rd8G8HURPSipghzPvk	 LongPosIncreased	 1700000000	 moEidpU1TiZ1dBN1URs8zrtJtCS2vtTXLd	 LongPosNettedPartly	 6100000000	 1500000000
moEidpU1TiZ1dBN1URs8zrtJtCS2vtTXLd	 LongPosNettedPartly	 5300000000	 mjoAzutmNYqZ3RMEJJJXXyKikL3mqWNmAm	 ShortPosNettedPartly	 4500000000	 800000000
moEidpU1TiZ1dBN1URs8zrtJtCS2vtTXLd	 LongPosNettedPartly	 2200000000	 n1V3bd2y7fGuy9fZjmSZGSeac3Z8qukHm4	 ShortPosNettedPartly	 400000000	 3100000000
mmcc3R2vSUn8zcNHCpRKm5a82CtytJ14Wk	 OpenShortPosByLongPosNetted	 3500000000	 n1V3bd2y7fGuy9fZjmSZGSeac3Z8qukHm4	 OpenLongPosByShortPosNetted	 4500000000	 4900000000
