my7sjVLnFcu74Mmfxyrs6QiaoUUhEbGmLL	 OpenLongPosition	 517	 mj6dkBZP21KV1SRX4JEUWgdTodQ7kiaiAy	 LongPosNettedPartly	 1926	 517
micxfo7M1KL8dhQeWBQjR4rSdbFWNNmqjR	 ShortPosNettedPartly	 3836	 mj6dkBZP21KV1SRX4JEUWgdTodQ7kiaiAy	 LongPosNettedPartly	 1677	 249
mpKZFQE3Y9D9JUy5joBvMrHALM7z8473uz	 LongPosIncreased	 730	 moyBpPDDRndLVDoirPycAre9FLtmccFDG9	 LongPosNettedPartly	 421	 251
mj6dkBZP21KV1SRX4JEUWgdTodQ7kiaiAy	 LongPosIncreased	 2061	 mk1rEL7b1WCnaoTM5qRAacrHiMp4vTn2vc	 OpenShortPosition	 384	 384
mfXRBdeimu2HnMyfcNGLEgfYxa6DA5EQap	 LongPosIncreased	 3339	 mk1rEL7b1WCnaoTM5qRAacrHiMp4vTn2vc	 ShortPosIncreased	 729	 345
moyBpPDDRndLVDoirPycAre9FLtmccFDG9	 LongPosIncreased	 2038	 mzx8e6cyc5rn797XBzNpsc4Amtn6wHht9o	 OpenShortPosition	 1617	 1617
mzjDA2DuQ2VCu213vXA4KQXdqQ8hFmXc79	 OpenLongPosition	 1221	 mzx8e6cyc5rn797XBzNpsc4Amtn6wHht9o	 ShortPosIncreased	 2838	 1221
myc23Yobr6piJKfWienY59UUbjcCmVMhBk	 ShortPosNettedPartly	 771	 myKWMpzDgRHYHH6Ymwwy2t81w34oU1MUCC	 LongPosNettedPartly	 3416	 66
n27gop7tUQGsumBwE45gVV5g59x8jukp8s	 ShortPosNettedPartly	 983	 myKWMpzDgRHYHH6Ymwwy2t81w34oU1MUCC	 LongPosNettedPartly	 3149	 267
n3sEjLfTH949QGXr54ydTmWu3xUzY8FT1x	 ShortPosNettedPartly	 199	 myKWMpzDgRHYHH6Ymwwy2t81w34oU1MUCC	 LongPosNettedPartly	 191	 2958
n3sEjLfTH949QGXr54ydTmWu3xUzY8FT1x	 ShortPosNetted	 0	 n4G1sFSvMdwnNXEbVJoBzZHV4HRFRvL4w3	 LongPosNettedPartly	 1509	 1509
n3sEjLfTH949QGXr54ydTmWu3xUzY8FT1x	 OpenLongPosition	 510	 n4G1sFSvMdwnNXEbVJoBzZHV4HRFRvL4w3	 LongPosNettedPartly	 999	 510
msPnGfvkzHeE82JBjD4wJxBLnwfRokvk6j	 LongPosIncreased	 2073	 n4G1sFSvMdwnNXEbVJoBzZHV4HRFRvL4w3	 LongPosNettedPartly	 653	 346
mmvvfkikbMkjkVQzNoFF9MS5sAV9EZ6Snq	 ShortPosNettedPartly	 2394	 n4G1sFSvMdwnNXEbVJoBzZHV4HRFRvL4w3	 LongPosNetted	 0	 653
mmvvfkikbMkjkVQzNoFF9MS5sAV9EZ6Snq	 ShortPosNettedPartly	 734	 n4G1sFSvMdwnNXEbVJoBzZHV4HRFRvL4w3	 OpenShortPosition	 1660	 1660
n1hhQqrdgDbM9ei6Ten14DFSWRqqHE6GuR	 ShortPosNettedPartly	 844	 n4G1sFSvMdwnNXEbVJoBzZHV4HRFRvL4w3	 ShortPosIncreased	 2543	 883
n1Jk28GoxETmYa59fT3BDBmANSVuTeXkzX	 ShortPosNettedPartly	 776	 mqGy6xgU3Fxb779iKJPLYgLWH4L5P1SKfB	 LongPosNettedPartly	 1616	 408
n2R691HdtHoETAFp95kKCvJutooDapXB6m	 OpenLongPosition	 920	 mqGy6xgU3Fxb779iKJPLYgLWH4L5P1SKfB	 LongPosNettedPartly	 696	 920
mkodHENjGLWBdAXe17AZGW1GdnxTb79vdt	 LongPosIncreased	 2644	 mgUVUdEwYHLCetx9cbZkRA26FmESXmJEy2	 OpenShortPosition	 589	 589
mfXRBdeimu2HnMyfcNGLEgfYxa6DA5EQap	 LongPosIncreased	 4273	 mx71gz7B4FsAaL1JEWnKnXjAdCs5wAcbUs	 OpenShortPosition	 934	 934
n4PxH81kzpmbsvGVMAtsWxqELWeUGxRe6D	 OpenLongPosition	 766	 mx71gz7B4FsAaL1JEWnKnXjAdCs5wAcbUs	 ShortPosIncreased	 1700	 766
mkodHENjGLWBdAXe17AZGW1GdnxTb79vdt	 LongPosIncreased	 2892	 mgoj58Woi5dVwWApZA4M2PA4XUV8PkMBqD	 OpenShortPosition	 248	 248
n2HLbZjYAYduuyZEUa9BhmVGbCWWm2CBE6	 ShortPosNetted	 0	 mgoj58Woi5dVwWApZA4M2PA4XUV8PkMBqD	 ShortPosIncreased	 2061	 1813
n2HLbZjYAYduuyZEUa9BhmVGbCWWm2CBE6	 OpenLongPosition	 376	 mgoj58Woi5dVwWApZA4M2PA4XUV8PkMBqD	 ShortPosIncreased	 2437	 376
mjCvbeMMYwpCtEfZ5rdJ86Dafn2YLoiqtz	 OpenLongPosition	 325	 mgoj58Woi5dVwWApZA4M2PA4XUV8PkMBqD	 ShortPosIncreased	 2762	 325
n1hhQqrdgDbM9ei6Ten14DFSWRqqHE6GuR	 ShortPosNetted	 0	 mghFvENpzqKtWhrBy8w181vCpqoL7qFG77	 OpenShortPosition	 844	 844
n1hhQqrdgDbM9ei6Ten14DFSWRqqHE6GuR	 OpenLongPosition	 900	 mghFvENpzqKtWhrBy8w181vCpqoL7qFG77	 ShortPosIncreased	 1744	 900
mgUVUdEwYHLCetx9cbZkRA26FmESXmJEy2	 ShortPosNetted	 0	 mghFvENpzqKtWhrBy8w181vCpqoL7qFG77	 ShortPosIncreased	 2333	 589
mgUVUdEwYHLCetx9cbZkRA26FmESXmJEy2	 OpenLongPosition	 1018	 mghFvENpzqKtWhrBy8w181vCpqoL7qFG77	 ShortPosIncreased	 3351	 1018
n4PxH81kzpmbsvGVMAtsWxqELWeUGxRe6D	 LongPosIncreased	 1149	 mghFvENpzqKtWhrBy8w181vCpqoL7qFG77	 ShortPosIncreased	 3734	 383
n4PxH81kzpmbsvGVMAtsWxqELWeUGxRe6D	 LongPosIncreased	 2092	 n46To5TkXyTevPubBWu1nCoiBk82Ku4YYW	 LongPosNettedPartly	 870	 943
n3hdAGNfpPTkeJqCnJCSDRquk4FvHJgorv	 OpenLongPosition	 870	 n46To5TkXyTevPubBWu1nCoiBk82Ku4YYW	 LongPosNetted	 0	 870
n3hdAGNfpPTkeJqCnJCSDRquk4FvHJgorv	 LongPosIncreased	 1507	 n46To5TkXyTevPubBWu1nCoiBk82Ku4YYW	 OpenShortPosition	 637	 637
n2R691HdtHoETAFp95kKCvJutooDapXB6m	 LongPosIncreased	 2922	 mxZfoMbDgnadhtpBEgpeEHmWX4xD3bWirp	 LongPosNettedPartly	 1232	 2002
mzjDA2DuQ2VCu213vXA4KQXdqQ8hFmXc79	 LongPosIncreased	 1735	 mzFom5u78GNjr3QppT8s165WF64t9weFsW	 LongPosNettedPartly	 76	 514
n3hdAGNfpPTkeJqCnJCSDRquk4FvHJgorv	 LongPosIncreased	 1583	 mzFom5u78GNjr3QppT8s165WF64t9weFsW	 LongPosNetted	 0	 76
n3hdAGNfpPTkeJqCnJCSDRquk4FvHJgorv	 LongPosIncreased	 1622	 mzFom5u78GNjr3QppT8s165WF64t9weFsW	 OpenShortPosition	 39	 39
mk1rEL7b1WCnaoTM5qRAacrHiMp4vTn2vc	 ShortPosNetted	 0	 mzFom5u78GNjr3QppT8s165WF64t9weFsW	 ShortPosIncreased	 768	 729
mk1rEL7b1WCnaoTM5qRAacrHiMp4vTn2vc	 OpenLongPosition	 74	 mzFom5u78GNjr3QppT8s165WF64t9weFsW	 ShortPosIncreased	 842	 74
mxFTFwCKpG5nUM8BN8RCAcQhEj96XFA8go	 ShortPosNettedPartly	 1839	 mzFom5u78GNjr3QppT8s165WF64t9weFsW	 ShortPosIncreased	 3007	 2165
muRGEUKPgJJW8fR5jfSf9sdzu5eZMdwZfV	 LongPosIncreased	 5078	 n3hdAGNfpPTkeJqCnJCSDRquk4FvHJgorv	 LongPosNettedPartly	 581	 1041
mt6pM7u8kBysbZG7eaUGfWLpNh9H34st5U	 ShortPosNettedPartly	 1309	 n3hdAGNfpPTkeJqCnJCSDRquk4FvHJgorv	 LongPosNetted	 0	 581
mt6pM7u8kBysbZG7eaUGfWLpNh9H34st5U	 ShortPosNettedPartly	 882	 n3hdAGNfpPTkeJqCnJCSDRquk4FvHJgorv	 OpenShortPosition	 427	 427
mjn9aSVy81XciWEYVezdRLRCUSBaKcCYVG	 ShortPosNettedPartly	 2490	 mkg1diyCQ5sjfGLpM6aqaL7N9b3xJYFBcQ	 LongPosNettedPartly	 842	 1179
mxFTFwCKpG5nUM8BN8RCAcQhEj96XFA8go	 ShortPosNetted	 0	 mj2rEyp4qeTdbUw39riTjZm1qqpfMG9qfY	 OpenShortPosition	 1839	 1839
mxFTFwCKpG5nUM8BN8RCAcQhEj96XFA8go	 OpenLongPosition	 287	 mj2rEyp4qeTdbUw39riTjZm1qqpfMG9qfY	 ShortPosIncreased	 2126	 287
n46To5TkXyTevPubBWu1nCoiBk82Ku4YYW	 ShortPosNetted	 0	 mj2rEyp4qeTdbUw39riTjZm1qqpfMG9qfY	 ShortPosIncreased	 2763	 637
n46To5TkXyTevPubBWu1nCoiBk82Ku4YYW	 OpenLongPosition	 749	 mj2rEyp4qeTdbUw39riTjZm1qqpfMG9qfY	 ShortPosIncreased	 3512	 749
n2R691HdtHoETAFp95kKCvJutooDapXB6m	 LongPosIncreased	 3446	 muRGEUKPgJJW8fR5jfSf9sdzu5eZMdwZfV	 LongPosNettedPartly	 4554	 524
n4G1sFSvMdwnNXEbVJoBzZHV4HRFRvL4w3	 ShortPosNettedPartly	 2122	 mmJpZppu35yEw5rZRy3WjTgJCUEbFC3ydo	 LongPosNettedPartly	 464	 421
