mnB2Cd1w28tVaqNHE6Y7n7S8CWCsegkdwf	 ShortPosNettedPartly	 1218	 mqeixocb8SyGfdgZjkesiHrfShHqBwXqKR	 LongPosNettedPartly	 311	 1493	 12365
mtCSgBT8UT6Ax9gfeenCrLmsiHp378MeDX	 ShortPosNettedPartly	 2995	 mqeixocb8SyGfdgZjkesiHrfShHqBwXqKR	 LongPosNettedPartly	 110	 201	 12643
mr2mdGfycxYeHUrkYk1pxXEMD3eFqZ9tBy	 ShortPosNettedPartly	 1055	 mrGuEwWjbQDtPS2NSXtpENR8iFcs2eBWb3	 LongPosNettedPartly	 609	 372	 12767
mrkyVGEK4d3SbYeiecgbDzr5ztgSSBVdoc	 LongPosIncreased	 2564	 mxWjE3FQ1ChE3hNEsEpzWPMjiwkTBxBD1J	 LongPosNettedPartly	 1019	 863	 17772
mjRBQJgqUAHqoiT4HgT8HSKbjPW7fs7LEz	 LongPosIncreased	 2498	 mxWjE3FQ1ChE3hNEsEpzWPMjiwkTBxBD1J	 LongPosNetted	 0	 1019	 18250
mjRBQJgqUAHqoiT4HgT8HSKbjPW7fs7LEz	 LongPosIncreased	 2722	 mxWjE3FQ1ChE3hNEsEpzWPMjiwkTBxBD1J	 OpenShortPosition	 224	 224	 18250
mj98pMSTSPttFg3Ugg2DRWMbwURt25Sf8f	 LongPosIncreased	 3701	 mxWjE3FQ1ChE3hNEsEpzWPMjiwkTBxBD1J	 ShortPosIncreased	 1280	 1056	 18730
mornUF4e2zhFsNMWeFBKjLCdyX8owRGEow	 LongPosIncreased	 278	 mnL3CdvBcjrwqo9XorTZkqyLkDr7ESxB2p	 OpenShortPosition	 197	 197	 21537
mnL3CdvBcjrwqo9XorTZkqyLkDr7ESxB2p	 ShortPosNetted	 0	 mwGPUnUKpK7QK57m379b8z68JdaaQ2zX5T	 LongPosNettedPartly	 1510	 1510	 16786
mnL3CdvBcjrwqo9XorTZkqyLkDr7ESxB2p	 OpenLongPosition	 1432	 mwGPUnUKpK7QK57m379b8z68JdaaQ2zX5T	 LongPosNettedPartly	 78	 1432	 16786
n2z2mTwSSQVREZyzXT5f5kxqDCMtG8TQD6	 OpenLongPosition	 28	 mwGPUnUKpK7QK57m379b8z68JdaaQ2zX5T	 LongPosNettedPartly	 50	 28	 16835
mn2QxmN1LyMDemFhwMDaNZQK8AsJJRoNQr	 ShortPosNettedPartly	 1340	 mzCCCyeBfc7YnxTCRnuD9WaHCohgCBzmsM	 OpenShortPosition	 436	 436	 15404
mubJByiemySRDLDgHvuBRxw3YZ5WYnYUkB	 OpenLongPosition	 1425	 mzCCCyeBfc7YnxTCRnuD9WaHCohgCBzmsM	 ShortPosIncreased	 1861	 1425	 15672
n3Ve7epNuqajmh8Kg2uvp1erX8ene4hHiw	 ShortPosNetted	 0	 mzCCCyeBfc7YnxTCRnuD9WaHCohgCBzmsM	 ShortPosIncreased	 2183	 322	 15685
n3Ve7epNuqajmh8Kg2uvp1erX8ene4hHiw	 OpenLongPosition	 938	 mzCCCyeBfc7YnxTCRnuD9WaHCohgCBzmsM	 ShortPosIncreased	 3121	 938	 15685
miMZMWFUNzy2pnzCVw31M3kLhGQJwP6Hrk	 LongPosIncreased	 3652	 mjntcY9swQVP2fN2SJGUHH7h2HPZQjmaZS	 LongPosNettedPartly	 2892	 918	 20244
mtCSgBT8UT6Ax9gfeenCrLmsiHp378MeDX	 ShortPosNettedPartly	 2848	 n4qLT4yCPBh8bGhG9GY24DfDD8QKYwTHi3	 OpenShortPosition	 147	 147	 12643
mornUF4e2zhFsNMWeFBKjLCdyX8owRGEow	 LongPosIncreased	 810	 mwavwTXMZwCJRqz8wXtzMTdRenSfdptAmd	 LongPosNetted	 0	 532	 21537
mornUF4e2zhFsNMWeFBKjLCdyX8owRGEow	 LongPosIncreased	 2799	 mwavwTXMZwCJRqz8wXtzMTdRenSfdptAmd	 OpenShortPosition	 1989	 1989	 21537
mtCSgBT8UT6Ax9gfeenCrLmsiHp378MeDX	 ShortPosNettedPartly	 2820	 n2z2mTwSSQVREZyzXT5f5kxqDCMtG8TQD6	 LongPosNetted	 0	 28	 12643
mtCSgBT8UT6Ax9gfeenCrLmsiHp378MeDX	 ShortPosNettedPartly	 934	 n2z2mTwSSQVREZyzXT5f5kxqDCMtG8TQD6	 OpenShortPosition	 1886	 1886	 12643
mqeixocb8SyGfdgZjkesiHrfShHqBwXqKR	 LongPosIncreased	 792	 mgvD9imqk71h9swowB7zV6fyGrLQ3sQWZo	 OpenShortPosition	 682	 682	 16432
mieJnaQEAd5F6KhtwGEfKveciWFkuTr3Tu	 ShortPosNettedPartly	 2817	 mgvD9imqk71h9swowB7zV6fyGrLQ3sQWZo	 ShortPosIncreased	 1922	 1240	 16442
msmGv8ZsE1wi7HtnTRV44C56ZYDCHaUSp5	 ShortPosNetted	 0	 miMZMWFUNzy2pnzCVw31M3kLhGQJwP6Hrk	 LongPosNettedPartly	 3275	 3275	 13204
msmGv8ZsE1wi7HtnTRV44C56ZYDCHaUSp5	 OpenLongPosition	 1129	 miMZMWFUNzy2pnzCVw31M3kLhGQJwP6Hrk	 LongPosNettedPartly	 2146	 1129	 13204
mj98pMSTSPttFg3Ugg2DRWMbwURt25Sf8f	 LongPosIncreased	 4377	 mntSaPer54ELKSmmEKcqLcZBGW8K889m6K	 LongPosNettedPartly	 39	 676	 18730
mgvD9imqk71h9swowB7zV6fyGrLQ3sQWZo	 ShortPosNettedPartly	 1883	 mntSaPer54ELKSmmEKcqLcZBGW8K889m6K	 LongPosNetted	 0	 39	 18800
mgvD9imqk71h9swowB7zV6fyGrLQ3sQWZo	 ShortPosNettedPartly	 584	 mntSaPer54ELKSmmEKcqLcZBGW8K889m6K	 OpenShortPosition	 1299	 1299	 18800
miAwK7xYRK1VnGC3oVV4EzKu738An5es2H	 OpenLongPosition	 160	 mntSaPer54ELKSmmEKcqLcZBGW8K889m6K	 ShortPosIncreased	 1459	 160	 18800
miMZMWFUNzy2pnzCVw31M3kLhGQJwP6Hrk	 LongPosIncreased	 2306	 miAwK7xYRK1VnGC3oVV4EzKu738An5es2H	 LongPosNetted	 0	 160	 20244
miMZMWFUNzy2pnzCVw31M3kLhGQJwP6Hrk	 LongPosIncreased	 3176	 miAwK7xYRK1VnGC3oVV4EzKu738An5es2H	 OpenShortPosition	 870	 870	 20244
