n35jKmn6VHnDWC38yXnifrdXawdrCgp1Kw	 LongPosIncreased	 2684	 msveq1PstTs6L46SR92LvZ99Dz4FidmXPN	 LongPosNettedPartly	 3331	 569
mzM8jiFfdBkavhynKue36wpoGwaTjEvh7r	 OpenLongPosition	 488	 msveq1PstTs6L46SR92LvZ99Dz4FidmXPN	 LongPosNettedPartly	 2843	 488
n1pJi3pTXvAfdhhh5SQ84R82UwKm6yfHaL	 ShortPosNettedPartly	 165	 msveq1PstTs6L46SR92LvZ99Dz4FidmXPN	 LongPosNettedPartly	 2099	 744
msZCSGUc1u35roT5BbfvRuUT2r9SUZDxpq	 ShortPosNettedPartly	 2313	 mpqNzLhjtCTepYabixP7CcD7hwFMbkzmU4	 LongPosNettedPartly	 33	 714
mn4Lxow4kXJFKDo9gGdPBWnYgJhqZfhfXw	 OpenLongPosition	 33	 mpqNzLhjtCTepYabixP7CcD7hwFMbkzmU4	 LongPosNetted	 0	 33
mn4Lxow4kXJFKDo9gGdPBWnYgJhqZfhfXw	 LongPosIncreased	 639	 mpqNzLhjtCTepYabixP7CcD7hwFMbkzmU4	 OpenShortPosition	 606	 606
myP5yp4sbZMZQHRnBQcicnKESjJaJ21FDK	 LongPosIncreased	 4972	 mtREqvJVxLvyp7LGyUy5Xgo4GNtNdqhQp3	 OpenShortPosition	 2070	 2070
mh7hp9eHg6rw11pqbLidGaUZ6f2Lv85C9w	 ShortPosNettedPartly	 1616	 mtREqvJVxLvyp7LGyUy5Xgo4GNtNdqhQp3	 ShortPosIncreased	 2173	 103
my1LWpf7ApoRL5b3Wh2pDQCvo3CSo2xCn6	 OpenLongPosition	 750	 mtREqvJVxLvyp7LGyUy5Xgo4GNtNdqhQp3	 ShortPosIncreased	 2923	 750
mqpDh7KXwaHVHqJwFUj2ytLJLJuwf29zQV	 ShortPosNetted	 0	 mznRKFz3GPKvu1RzbfY1kUrPRAQKT1MvbX	 LongPosNettedPartly	 3506	 3506
mqpDh7KXwaHVHqJwFUj2ytLJLJuwf29zQV	 OpenLongPosition	 308	 mznRKFz3GPKvu1RzbfY1kUrPRAQKT1MvbX	 LongPosNettedPartly	 3198	 308
